State (Emission order)	-2000	-1800	-1600	-1400	-1200	-1000	-800	-600	-400	-200	0	200	400	600	800	1000	1200	1400	1600	1800	2000
1	2.81041	2.57469	2.52937	2.26646	2.50217	2.41151	2.42058	2.38431	2.14860	1.81317	1.82223	1.70438	1.46866	1.65905	1.65905	1.82223	1.64998	1.72251	1.86756	1.80410	1.69531
2	1.29032	1.23030	1.15528	1.13028	1.05026	1.12527	1.22030	1.26531	1.44035	1.41034	1.36533	1.21530	1.29032	1.17529	1.20529	1.24530	1.37534	1.35033	1.28531	1.35533	1.22030
3	1.63031	1.58669	1.49400	1.44493	1.54307	1.58669	1.72846	1.83206	2.09378	2.38277	2.24100	2.38277	2.23555	2.25736	2.24645	2.38822	2.31734	2.44275	2.27917	2.17557	2.11014
4	3.91046	3.92374	3.83743	3.79760	3.53867	3.47892	3.34613	3.23991	3.13368	2.96770	2.72205	2.98098	3.12704	3.14696	3.14032	3.17352	3.08057	2.98098	3.07393	3.11376	3.25982
5	5.64473	5.56664	5.52201	5.16504	4.99770	4.59610	4.29490	3.82637	3.51401	3.23512	3.13472	2.77774	2.74427	2.72196	3.04547	3.02316	3.05663	3.02316	2.80005	2.84467	2.94507
6	2.72440	2.74252	2.54318	2.65795	2.70024	2.75460	2.81501	2.94187	2.94791	2.96603	2.94187	2.83917	2.71836	2.55526	2.47673	2.34987	2.49485	2.51297	2.57338	2.38611	2.22301
7	2.29638	2.35614	2.41590	2.74883	2.69761	2.68908	2.67200	3.10738	3.00493	2.97932	3.03054	3.15006	2.94518	2.98786	2.96225	3.09030	3.04762	3.01347	3.02201	2.85127	2.78298
8	1.24457	1.26558	1.33516	1.34041	1.36798	1.40343	1.42443	1.44675	1.49401	1.57804	1.60036	1.56885	1.55572	1.62399	1.60823	1.59773	1.63186	1.63186	1.71720	1.69619	1.74871
9	1.50444	1.51825	1.48374	1.49409	1.45959	1.54585	1.60451	1.62176	1.63902	1.66662	1.58381	1.54585	1.49754	1.47339	1.39058	1.36987	1.34572	1.28361	1.20770	1.27326	1.31811
10	0.87235	0.87369	0.87503	0.84158	0.84961	0.75863	0.73588	0.69440	0.68504	0.69440	0.70912	0.72250	0.75729	0.72384	0.73321	0.72652	0.73989	0.76130	0.77334	0.77334	0.77334
11	3.31646	3.30704	3.29290	3.24108	3.26464	3.32588	3.17984	3.13273	3.15629	2.98199	2.79826	2.70404	2.55330	2.58627	2.56743	2.49205	2.47792	2.40255	2.36015	2.39313	2.33660
12	3.75429	3.75997	3.78272	3.79352	3.78499	3.80830	3.80773	3.79807	3.74405	3.70596	3.65990	3.60816	3.53823	3.48535	3.42224	3.32899	3.23632	3.14307	3.05835	2.97079	2.89858
13	0.65974	0.66089	0.66055	0.66151	0.65868	0.65710	0.65662	0.65705	0.65825	0.66372	0.67923	0.68725	0.69671	0.70242	0.70909	0.71601	0.72407	0.73219	0.73929	0.74952	0.75504
14	0.93256	0.93132	0.93959	0.94372	0.95695	0.97597	0.98175	0.97431	0.97307	0.96563	0.95406	0.93670	0.92884	0.91727	0.89784	0.89040	0.88130	0.87262	0.86312	0.86064	0.86229
15	1.01614	1.00378	0.98456	0.98868	1.05047	1.01339	1.02026	1.02987	1.07381	1.03125	0.89256	0.92551	0.97769	0.96945	1.01889	1.05184	1.03674	1.07381	1.07793	1.06420	1.09441
