State (Emission order)	-2000	-1800	-1600	-1400	-1200	-1000	-800	-600	-400	-200	0	200	400	600	800	1000	1200	1400	1600	1800	2000
1	3.25679	3.95296	4.72915	6.76964	9.05820	12.01892	15.39574	18.10839	20.08487	26.52644	27.07057	16.41198	15.94787	16.13992	15.56378	14.68356	12.10694	9.19423	6.41756	4.96921	3.88894
2	2.26896	2.45436	2.76778	3.12534	3.56677	3.98172	4.00379	3.23128	2.23806	1.89374	1.76573	1.35961	1.23160	1.43024	1.77897	2.54265	3.04588	2.94877	2.43229	2.07032	1.80104
3	3.47958	3.83572	4.59131	5.82817	7.81582	10.48205	14.11082	16.09365	14.28408	7.51743	3.59990	3.63358	4.38918	5.53941	6.54045	5.98699	4.70681	3.61433	2.95018	2.37747	2.12240
4	4.11375	4.69389	5.69596	7.00861	9.57531	14.03480	21.85796	35.16611	52.27743	67.34946	74.32291	66.93340	49.10129	32.57597	21.13717	13.24369	8.49120	5.77800	4.12547	3.07652	2.36746
5	6.27220	7.65070	9.76769	13.18442	17.95995	22.79456	27.29440	27.51102	23.72998	15.15371	15.04540	41.33546	64.95712	79.73667	77.56060	62.90906	44.81126	31.33145	21.89854	15.61649	11.64837
6	6.56891	7.59263	8.67501	9.26685	8.70167	7.62995	5.21460	3.81764	2.94321	2.38869	1.98347	2.14343	2.64996	4.13756	9.48546	18.15513	25.02262	26.04102	23.99357	20.99170	17.94186
7	2.84821	2.88589	2.96124	3.11947	3.22496	3.52636	3.07426	2.54681	1.77071	1.25834	1.21313	1.19052	1.23573	1.13024	1.02475	1.21313	1.49192	1.71797	1.77825	1.71043	1.61248
8	2.67214	2.83553	2.91665	3.00935	2.98154	2.73704	2.27121	1.70804	1.24221	1.10432	1.06260	0.99191	0.94904	1.04985	1.12633	1.28393	1.44152	1.64894	1.78104	1.83435	1.78800
9	2.58574	2.52788	2.16240	1.77561	1.32790	0.91674	0.87410	0.76445	0.70659	0.68831	0.76445	0.72486	0.70354	0.79187	0.86191	1.12079	2.26900	4.04156	5.76843	6.72476	7.07806
10	1.40415	1.19276	0.99554	0.76880	0.63181	0.52198	0.47002	0.44994	0.41924	0.39680	0.37082	0.38263	0.40743	0.41688	0.46175	0.54206	0.79951	1.34274	2.07612	2.74690	3.42949
11	1.18920	1.05614	0.88566	0.69855	0.61539	0.56965	0.52807	0.54055	0.58213	0.68192	0.75261	0.75677	0.74429	0.80250	0.79003	0.80250	0.90230	1.19336	1.51353	2.05408	2.63620
12	0.81199	0.75579	0.70610	0.64638	0.58616	0.54300	0.49482	0.45468	0.43711	0.43109	0.43059	0.44213	0.44966	0.46271	0.48529	0.51741	0.56006	0.63986	0.75278	0.88426	0.99768
13	0.74695	0.72750	0.70275	0.66716	0.62071	0.56371	0.49472	0.42857	0.38288	0.36093	0.34864	0.35258	0.36704	0.38276	0.40526	0.43031	0.46306	0.49175	0.51434	0.53294	0.54714
14	1.25439	1.26752	1.27482	1.26023	1.22848	1.16026	1.07780	0.97892	0.86654	0.79175	0.76402	0.75709	0.81838	0.89464	0.98549	1.07378	1.14165	1.17376	1.20331	1.20149	1.19674
15	0.82539	0.80721	0.80357	0.78781	0.76357	0.71388	0.66540	0.55753	0.48844	0.49450	0.56844	0.50420	0.47390	0.47632	0.50056	0.55753	0.55632	0.56723	0.56723	0.58783	0.60722
