State (Emission order)	Genome %	CpGIsland.hg19.bed.gz	RefSeqExon.hg19.bed.gz	RefSeqGene.hg19.bed.gz	RefSeqTES.hg19.bed.gz	RefSeqTSS.hg19.bed.gz	RefSeqTSS2kb.hg19.bed.gz	laminB1lads.hg19.bed.gz
1	0.38351	33.22639	4.10496	1.02341	1.82242	27.07140	12.47163	0.91194
2	0.69519	0.46866	1.09447	1.17876	1.36548	1.76578	2.49118	0.51676
3	0.63765	2.36763	1.58131	1.06266	2.24123	3.60001	6.23263	0.27146
4	0.52368	76.90726	9.51740	1.30429	2.72234	74.31933	21.79427	0.33953
5	0.31167	36.00970	6.57134	2.16151	3.13505	15.04586	25.56564	0.16390
6	0.57555	0.67317	2.30446	2.19335	2.94218	1.98353	8.78070	0.13647
7	0.40728	0.42737	2.35909	1.27226	3.03086	1.21316	2.03591	0.19197
8	2.64831	0.38654	1.16204	1.20778	1.60052	1.06263	1.85989	0.39275
9	1.00761	0.24902	1.43710	2.27576	1.58397	0.76448	1.93882	0.10918
10	2.59858	0.40624	0.77045	2.28502	0.70920	0.37083	0.91404	0.16072
11	0.73804	0.48851	4.13946	2.27248	2.79384	0.75263	0.93839	0.12566
12	6.11498	0.62045	4.09322	2.17262	3.65915	0.43060	0.63716	0.27918
13	72.41510	0.29332	0.59426	0.81291	0.67930	0.34865	0.53956	1.09060
14	8.41090	0.52114	0.82594	0.92029	0.95416	0.76404	1.15914	1.63481
15	2.53197	0.49508	1.08388	0.77938	0.89265	0.56846	0.62469	1.04203
Base	100	0.6832847744	2.4487802305	42.0774209923	0.0009290009	0.0010525920	3.4107529258	36.8568410921
