State (Emission order)	H3K27me3	H3K9me	H3K9me3	H3K36me3	H4K20me1	H3K79me2	H3K9ac	H3K27ac	H3K4me3	H3K4me2	H3K4me1
1	0.2552834498869692	0.028224022441736486	0.028224022441736486	0.002578997228952909	0.014390507415255464	0.0085705095155826	0.09222963848827485	0.12961942827486092	0.4610918850108249	0.7819703164950037	0.20548048110497538
2	0.0013152736165534847	0.0	0.0	0.0066000340045296365	0.005214962412538999	0.015795813279206476	0.16217699130475285	0.09711981305261427	0.20288679899744472	0.9393263697126203	0.8649451693631951
3	0.0022202928591812834	0.0	0.0	0.012422280925827698	0.00392825196831421	0.05169187684170523	0.9636795026606537	0.8858665261081914	0.7722593953307081	0.9989206412905379	0.9486016306155965
4	0.027934498967782873	0.0	0.0	7.651954602606784E-4	7.304615407417855E-4	0.018282414737067057	0.9603809816464765	0.9788391308634713	0.9830879537540811	0.8068430007754378	0.04529992139093305
5	0.0017345775635788931	0.006100227309568675	0.006100227309568675	0.09476523529159935	0.06913697667177422	0.9818868445288568	0.9988579367374467	0.9926361859677421	1.0	0.9409839569344374	0.06675367350650552
6	2.514594775860432E-5	0.008973231390843862	0.008973231390843862	0.2511721267083855	0.17085084821201652	0.9632229374070406	0.8474841854662476	0.7460098840992192	0.7333967950358624	0.9733802297769759	0.9365056772844712
7	5.801926838206576E-4	0.06772719850700591	0.06772719850700591	0.17195672916563082	0.01437785733095869	0.08187274352903326	0.5043640638977693	0.44647961004752035	0.029089647141051455	0.23053053684621455	0.9390462451785792
8	0.0014145852400923081	0.0	0.0	0.009619379718247516	0.004771681735835291	0.009852949067182431	0.010616797437253914	0.013261791643872103	4.2941822276276216E-4	0.021000556852234245	0.48700991869638904
9	8.283012307420922E-5	0.0	0.0	0.24326949404261947	0.23002270737533578	0.9031275700887071	0.0679548617271369	0.06274399367974906	0.01924840778612082	0.24194751748282045	0.8005618961506561
10	6.596468768248125E-5	0.0	0.0	0.04874892415781222	0.058164572643885595	0.5692542266504755	2.533790698432924E-4	5.321728264989601E-4	2.7406011862574912E-5	4.972465384264234E-4	0.04197741832063138
11	2.3051295660199485E-4	0.17648182450120284	0.17648182450120284	0.7912689831593762	0.24005905770389666	0.8537378717667128	0.002908468569207963	0.0038607289875596984	0.003547158863585759	0.00673295197630224	0.08947155160084576
12	3.5697893928586584E-5	0.0	0.0	0.24057156607549313	0.02294860341241758	0.031301482430819844	3.233149389885373E-4	6.960406553641656E-4	1.612649901011326E-5	9.737024243227514E-5	0.012745211147377302
13	0.004722308068365603	0.0	0.0	0.0013403197630015408	0.001555992119701248	2.6301171546930967E-4	4.407145925074938E-5	1.0376324754783621E-4	3.987179857468961E-5	3.34447279510973E-4	0.001132955676552236
14	0.38909352226486726	0.0	0.0	3.084152342441896E-4	0.007001250007408364	7.194708632166762E-5	2.296951615911797E-5	8.703393248854473E-5	1.960788314094228E-5	0.0010444456395894647	0.002256191917558084
15	0.04131072263586624	1.0	1.0	0.0968946079899603	0.01262052489944656	0.006696460500948369	9.376252387120686E-4	5.734641073468793E-4	0.004248338866075263	0.0013560356317020236	0.010044480843448347
