15	11	E	-9522163.910623983	127
probinit	1	0.0
probinit	2	0.0
probinit	3	0.0
probinit	4	0.0
probinit	5	0.0
probinit	6	0.0
probinit	7	0.0
probinit	8	3.0571059576961893E-198
probinit	9	0.0
probinit	10	0.0
probinit	11	0.0
probinit	12	2.051630598424354E-299
probinit	13	1.0
probinit	14	7.65002453246225E-241
probinit	15	0.0
transitionprobs	1	1	0.5559052948823252
transitionprobs	1	2	0.004070575807659521
transitionprobs	1	3	0.011902954579190134
transitionprobs	1	4	0.1428126529350827
transitionprobs	1	5	0.006507896539196583
transitionprobs	1	6	0.0038510019346690116
transitionprobs	1	7	0.0
transitionprobs	1	8	0.013418617116062648
transitionprobs	1	9	7.432199311698911E-4
transitionprobs	1	10	0.0016300572481552503
transitionprobs	1	11	1.288301950571551E-4
transitionprobs	1	12	0.0016997533228196888
transitionprobs	1	13	0.15868332753908188
transitionprobs	1	14	0.08964849866539991
transitionprobs	1	15	0.008997319304130419
transitionprobs	2	1	0.003164502115653722
transitionprobs	2	2	0.526128480614148
transitionprobs	2	3	0.10342886073012438
transitionprobs	2	4	0.0
transitionprobs	2	5	3.4307787694772204E-5
transitionprobs	2	6	0.003242448572259779
transitionprobs	2	7	0.005599222450353141
transitionprobs	2	8	0.30624464530330725
transitionprobs	2	9	0.0030583491782019234
transitionprobs	2	10	0.0
transitionprobs	2	11	0.0
transitionprobs	2	12	5.426149767732248E-4
transitionprobs	2	13	0.04707750225392536
transitionprobs	2	14	0.0
transitionprobs	2	15	0.00147906601755858
transitionprobs	3	1	0.007542218176027606
transitionprobs	3	2	0.11110654225130372
transitionprobs	3	3	0.6645845466112819
transitionprobs	3	4	0.0714396994802971
transitionprobs	3	5	2.078798405129557E-4
transitionprobs	3	6	0.010813138267165484
transitionprobs	3	7	0.07524494573848803
transitionprobs	3	8	0.04893622703833412
transitionprobs	3	9	0.0
transitionprobs	3	10	0.0
transitionprobs	3	11	0.0
transitionprobs	3	12	1.5140353326609785E-4
transitionprobs	3	13	0.009914995376237032
transitionprobs	3	14	2.4100455447769633E-6
transitionprobs	3	15	5.599364154128113E-5
transitionprobs	4	1	0.10838129699306179
transitionprobs	4	2	0.0017226204992787663
transitionprobs	4	3	0.08370632402981247
transitionprobs	4	4	0.7036472777404325
transitionprobs	4	5	0.0793401423022105
transitionprobs	4	6	0.004218970201997997
transitionprobs	4	7	4.897669452327652E-5
transitionprobs	4	8	0.0043147514546875475
transitionprobs	4	9	0.0
transitionprobs	4	10	2.5566654862265944E-4
transitionprobs	4	11	2.7223794223722434E-5
transitionprobs	4	12	5.11432672685447E-4
transitionprobs	4	13	0.013664249408527417
transitionprobs	4	14	0.0
transitionprobs	4	15	1.6106765993616093E-4
transitionprobs	5	1	0.007534797564198413
transitionprobs	5	2	0.0
transitionprobs	5	3	5.986727608031431E-4
transitionprobs	5	4	0.1295617927718007
transitionprobs	5	5	0.7477081564842557
transitionprobs	5	6	0.10955361656283949
transitionprobs	5	7	0.0
transitionprobs	5	8	1.1942493212412313E-4
transitionprobs	5	9	0.00220608159099882
transitionprobs	5	10	0.001988779987933878
transitionprobs	5	11	1.5384515851635702E-4
transitionprobs	5	12	1.386029066979347E-4
transitionprobs	5	13	3.421894528606033E-4
transitionprobs	5	14	0.0
transitionprobs	5	15	9.403982697084045E-5
transitionprobs	6	1	0.0027638664314544805
transitionprobs	6	2	0.003899868546379261
transitionprobs	6	3	0.01196415457655087
transitionprobs	6	4	0.0031532526572287897
transitionprobs	6	5	0.06100080899561089
transitionprobs	6	6	0.7688366636047603
transitionprobs	6	7	0.005086562026955886
transitionprobs	6	8	0.0012683945511378979
transitionprobs	6	9	0.1223624673811231
transitionprobs	6	10	0.01595667383985014
transitionprobs	6	11	0.002350102500334033
transitionprobs	6	12	0.0011045214883826143
transitionprobs	6	13	1.5646439606387442E-4
transitionprobs	6	14	0.0
transitionprobs	6	15	9.619900416786244E-5
transitionprobs	7	1	0.0
transitionprobs	7	2	0.008054625616642195
transitionprobs	7	3	0.10560549640063925
transitionprobs	7	4	6.605363550004508E-5
transitionprobs	7	5	0.0
transitionprobs	7	6	0.006072274507120498
transitionprobs	7	7	0.624888354583332
transitionprobs	7	8	0.19936892089945624
transitionprobs	7	9	0.004849730662462338
transitionprobs	7	10	0.0
transitionprobs	7	11	0.0011244380902430242
transitionprobs	7	12	0.040325297434755644
transitionprobs	7	13	6.145970012132347E-8
transitionprobs	7	14	0.0
transitionprobs	7	15	0.009644746710148583
transitionprobs	8	1	0.0017969368852271566
transitionprobs	8	2	0.06659235570997568
transitionprobs	8	3	0.009972050950402912
transitionprobs	8	4	7.338209575476837E-4
transitionprobs	8	5	1.3254092139553725E-5
transitionprobs	8	6	2.0927099537868646E-4
transitionprobs	8	7	0.028947232647132653
transitionprobs	8	8	0.7126542857274815
transitionprobs	8	9	0.002270452932091195
transitionprobs	8	10	0.0013874975858844093
transitionprobs	8	11	0.0
transitionprobs	8	12	0.012421355408738512
transitionprobs	8	13	0.15962820175564366
transitionprobs	8	14	2.1491969841803553E-4
transitionprobs	8	15	0.0031583646539383625
transitionprobs	9	1	3.111168115356672E-4
transitionprobs	9	2	0.0019641742817011806
transitionprobs	9	3	0.0
transitionprobs	9	4	0.0
transitionprobs	9	5	3.9503622936620504E-4
transitionprobs	9	6	0.0661533176168052
transitionprobs	9	7	0.002154606973805616
transitionprobs	9	8	0.0072109058156882185
transitionprobs	9	9	0.7537690522851748
transitionprobs	9	10	0.15263206819548472
transitionprobs	9	11	0.011713848862074067
transitionprobs	9	12	0.003695872928364477
transitionprobs	9	13	0.0
transitionprobs	9	14	0.0
transitionprobs	9	15	0.0
transitionprobs	10	1	2.528718273061498E-4
transitionprobs	10	2	5.665506166681781E-7
transitionprobs	10	3	1.2456113162939711E-5
transitionprobs	10	4	4.008829163053957E-5
transitionprobs	10	5	3.382696685714518E-4
transitionprobs	10	6	0.003206497788747313
transitionprobs	10	7	0.0
transitionprobs	10	8	0.001730990359849974
transitionprobs	10	9	0.061234029378539064
transitionprobs	10	10	0.8726771538043888
transitionprobs	10	11	0.04730979038021724
transitionprobs	10	12	0.011436826430963965
transitionprobs	10	13	0.0016501133574744707
transitionprobs	10	14	0.0
transitionprobs	10	15	1.1034604853110305E-4
transitionprobs	11	1	5.941105486725303E-5
transitionprobs	11	2	0.0
transitionprobs	11	3	0.0
transitionprobs	11	4	0.0
transitionprobs	11	5	7.270890374532065E-5
transitionprobs	11	6	0.001511255158571463
transitionprobs	11	7	8.410244128498304E-4
transitionprobs	11	8	0.0
transitionprobs	11	9	0.015471419777074332
transitionprobs	11	10	0.15796110231785698
transitionprobs	11	11	0.7516436523956809
transitionprobs	11	12	0.06830630333798163
transitionprobs	11	13	0.0
transitionprobs	11	14	9.018793704740831E-6
transitionprobs	11	15	0.004124103847667518
transitionprobs	12	1	1.286626998697119E-4
transitionprobs	12	2	5.213855099645519E-6
transitionprobs	12	3	0.0
transitionprobs	12	4	4.712509306529808E-5
transitionprobs	12	5	1.2435223529924939E-5
transitionprobs	12	6	7.306956800580931E-5
transitionprobs	12	7	0.0028419580405884865
transitionprobs	12	8	0.006389462487633071
transitionprobs	12	9	5.719996372126005E-4
transitionprobs	12	10	0.004806608481420342
transitionprobs	12	11	0.008495125856936018
transitionprobs	12	12	0.9592287759636758
transitionprobs	12	13	0.007442821268115593
transitionprobs	12	14	0.0
transitionprobs	12	15	0.009956741824847716
transitionprobs	13	1	8.850259207949949E-4
transitionprobs	13	2	4.380109288232988E-4
transitionprobs	13	3	1.0048260166032997E-4
transitionprobs	13	4	9.598837295306825E-5
transitionprobs	13	5	2.4972196715572912E-6
transitionprobs	13	6	2.2666464468606183E-6
transitionprobs	13	7	0.0
transitionprobs	13	8	0.00700827230377751
transitionprobs	13	9	0.0
transitionprobs	13	10	6.080345986501906E-5
transitionprobs	13	11	0.0
transitionprobs	13	12	6.292153966155006E-4
transitionprobs	13	13	0.9669236456549799
transitionprobs	13	14	0.004170221826102014
transitionprobs	13	15	0.0196835696683099
transitionprobs	14	1	0.004268913914792646
transitionprobs	14	2	0.0
transitionprobs	14	3	0.0
transitionprobs	14	4	0.0
transitionprobs	14	5	0.0
transitionprobs	14	6	0.0
transitionprobs	14	7	0.0
transitionprobs	14	8	6.794289551937242E-5
transitionprobs	14	9	0.0
transitionprobs	14	10	0.0
transitionprobs	14	11	0.0
transitionprobs	14	12	0.0
transitionprobs	14	13	0.03418469978968031
transitionprobs	14	14	0.9523903545759068
transitionprobs	14	15	0.009088088824101
transitionprobs	15	1	0.0015296833254570311
transitionprobs	15	2	3.4086575797223894E-4
transitionprobs	15	3	1.980274077415837E-5
transitionprobs	15	4	5.496828912053044E-5
transitionprobs	15	5	5.058486329747276E-6
transitionprobs	15	6	5.188039985988044E-6
transitionprobs	15	7	0.0016581877094423588
